County,State,3/15~4/30,3/15~5/31
Clark,Arkansas,12,10
Clay,Arkansas,12,10
Cleburne,Arkansas,4,2
Cleveland,Arkansas,12,10
Columbia,Arkansas,12,2
Conway,Arkansas,5,4
Craighead,Arkansas,10,8
Crawford,Arkansas,12,10
Crittenden,Arkansas,6,5
Cross,Arkansas,12,10
Dallas,Arkansas,13,12
Desha,Arkansas,12,10
Drew,Arkansas,6,2
Faulkner,Arkansas,10,8
Franklin,Arkansas,12,10
Fulton,Arkansas,0,10
Garland,Arkansas,12,9
Grant,Arkansas,12,10
Greene,Arkansas,12,10
Hempstead,Arkansas,10,3
Hot Spring,Arkansas,12,10
Howard,Arkansas,12,10
Independence,Arkansas,12,10
Izard,Arkansas,12,10
Jackson,Arkansas,0,10
Jefferson,Arkansas,4,1
Johnson,Arkansas,12,10
Lafayette,Arkansas,10,2
Lawrence,Arkansas,6,5
Lee,Arkansas,4,1
Lincoln,Arkansas,12,5
Little River,Arkansas,0,0
Logan,Arkansas,12,12
Lonoke,Arkansas,12,10
Madison,Arkansas,13,10
Marion,Arkansas,12,10
Miller,Arkansas,10,8
Mississippi,Arkansas,12,9
Monroe,Arkansas,12,10
Montgomery,Arkansas,0,0
Nevada,Arkansas,12,10
Newton,Arkansas,12,10
Ouachita,Arkansas,12,10
Perry,Arkansas,12,10
Phillips,Arkansas,4,1
Pike,Arkansas,12,10
Poinsett,Arkansas,10,2
Polk,Arkansas,12,10
Pope,Arkansas,12,9
Prairie,Arkansas,12,10
Pulaski,Arkansas,4,2
Randolph,Arkansas,12,10
St. Francis,Arkansas,12,9
Saline,Arkansas,10,8
Scott,Arkansas,12,10
Searcy,Arkansas,12,10
Sebastian,Arkansas,12,10
Sevier,Arkansas,2,1
Sharp,Arkansas,12,2
Stone,Arkansas,12,10
Union,Arkansas,12,2
Van Buren,Arkansas,4,2
Washington,Arkansas,10,2
White,Arkansas,10,9
Woodruff,Arkansas,12,10
Yell,Arkansas,12,1
Alameda,California,9,2
Alpine,California,12,10
Amador,California,12,10
Butte,California,12,10
Calaveras,California,12,10
Colusa,California,12,10
Contra Costa,California,10,8
Del Norte,California,12,10
El Dorado,California,12,10
Fresno,California,10,2
Glenn,California,12,10
Humboldt,California,12,9
Imperial,California,6,1
Inyo,California,10,8
Kern,California,8,2
Kings,California,8,1
Lake,California,12,10
Lassen,California,0,0
Los Angeles,California,6,1
Madera,California,10,7
Marin,California,9,2
Mariposa,California,0,0
Mendocino,California,12,10
Merced,California,8,2
Modoc,California,0,0
Mono,California,4,2
Monterey,California,8,2
Napa,California,8,7
Nevada,California,10,9
Orange,California,10,2
Placer,California,10,7
Plumas,California,12,10
Riverside,California,6,1
Sacramento,California,9,2
San Benito,California,6,3
San Bernardino,California,6,3
San Diego,California,9,3
San Francisco,California,9,2
San Joaquin,California,6,2
San Luis Obispo,California,10,9
San Mateo,California,4,3
Santa Barbara,California,10,2
Santa Clara,California,4,2
Santa Cruz,California,10,8
Shasta,California,8,8
Sierra,California,0,0
Siskiyou,California,12,10
Solano,California,10,8
Sonoma,California,10,8
Stanislaus,California,10,2
Sutter,California,10,8
Tehama,California,10,2
Trinity,California,0,0
Tulare,California,6,1
Tuolumne,California,12,10
Ventura,California,8,2
Yolo,California,6,2
Yuba,California,10,8
Adams,Colorado,6,1
Alamosa,Colorado,6,1
Arapahoe,Colorado,6,6
Archuleta,Colorado,12,10
Baca,Colorado,12,10
Bent,Colorado,0,0
Boulder,Colorado,6,5
Broomfield,Colorado,6,5
Chaffee,Colorado,5,5
Cheyenne,Colorado,0,0
Clear Creek,Colorado,11,2
Conejos,Colorado,0,0
Costilla,Colorado,12,11
Crowley,Colorado,5,1
Custer,Colorado,12,10
Delta,Colorado,6,2
Denver,Colorado,5,6
Dolores,Colorado,0,0
Douglas,Colorado,4,2
Eagle,Colorado,6,5
Elbert,Colorado,6,3
El Paso,Colorado,6,1
Fremont,Colorado,12,10
Garfield,Colorado,4,2
Gilpin,Colorado,13,10
Grand,Colorado,12,10
Gunnison,Colorado,6,5
Hinsdale,Colorado,12,10
Huerfano,Colorado,12,10
Jackson,Colorado,0,0
Jefferson,Colorado,6,5
Kiowa,Colorado,0,0
Kit Carson,Colorado,6,5
Lake,Colorado,12,10
La Plata,Colorado,12,9
Larimer,Colorado,6,3
Las Animas,Colorado,12,10
Lincoln,Colorado,12,10
Logan,Colorado,5,1
Mesa,Colorado,12,10
Mineral,Colorado,12,10
Moffat,Colorado,12,10
Montezuma,Colorado,4,3
Montrose,Colorado,6,5
Morgan,Colorado,6,6
Otero,Colorado,10,2
Ouray,Colorado,6,3
Park,Colorado,12,10
Phillips,Colorado,12,10
Pitkin,Colorado,6,2
Prowers,Colorado,13,10
Pueblo,Colorado,6,3
Rio Blanco,Colorado,13,12
Rio Grande,Colorado,12,9
Routt,Colorado,4,5
Saguache,Colorado,12,8
San Juan,Colorado,0,0
San Miguel,Colorado,12,10
Sedgwick,Colorado,0,0
Summit,Colorado,9,2
Teller,Colorado,6,3
Washington,Colorado,12,10
Weld,Colorado,5,1
Yuma,Colorado,12,10
Fairfield,Connecticut,5,6
Hartford,Connecticut,5,6
Litchfield,Connecticut,5,6
Middlesex,Connecticut,5,6
New Haven,Connecticut,5,6
New London,Connecticut,6,5
Tolland,Connecticut,5,1
Windham,Connecticut,9,2
Kent,Delaware,6,1
New Castle,Delaware,6,5
Sussex,Delaware,6,1
District of Columbia,District of Columbia,5,6
Alachua,Florida,10,8
Baker,Florida,4,2
Bay,Florida,10,8
Bradford,Florida,4,2
Brevard,Florida,10,8
Broward,Florida,4,2
Calhoun,Florida,12,2
Charlotte,Florida,10,2
Citrus,Florida,9,8
Clay,Florida,6,1
Collier,Florida,10,2
Columbia,Florida,10,8
DeSoto,Florida,4,1
Dixie,Florida,12,8
Duval,Florida,9,2
Escambia,Florida,10,2
Flagler,Florida,8,8
Franklin,Florida,12,10
Gadsden,Florida,12,9
Gilchrist,Florida,12,10
Glades,Florida,4,1
Gulf,Florida,12,10
Hamilton,Florida,12,10
Hardee,Florida,12,10
Hendry,Florida,10,1
Hernando,Florida,10,8
Highlands,Florida,9,2
Hillsborough,Florida,10,8
Holmes,Florida,12,10
Indian River,Florida,10,8
Jackson,Florida,12,12
Jefferson,Florida,4,2
Lafayette,Florida,13,10
Lake,Florida,10,8
Lee,Florida,9,3
Leon,Florida,8,2
Levy,Florida,12,12
Liberty,Florida,12,10
Madison,Florida,4,2
Manatee,Florida,6,3
Marion,Florida,10,8
Martin,Florida,10,2
Miami-Dade,Florida,4,5
Monroe,Florida,10,8
Nassau,Florida,12,9
Okaloosa,Florida,10,8
Okeechobee,Florida,12,10
Orange,Florida,9,2
Osceola,Florida,10,8
Palm Beach,Florida,6,3
Pasco,Florida,10,8
Pinellas,Florida,10,8
Polk,Florida,10,2
Putnam,Florida,8,8
St. Johns,Florida,10,8
St. Lucie,Florida,9,2
Santa Rosa,Florida,6,3
Sarasota,Florida,9,2
Seminole,Florida,10,8
Sumter,Florida,10,8
Suwannee,Florida,6,5
Taylor,Florida,12,10
Union,Florida,12,12
Volusia,Florida,10,8
Wakulla,Florida,4,2
Walton,Florida,12,8
Washington,Florida,12,8
Appling,Georgia,6,6
Atkinson,Georgia,2,1
Bacon,Georgia,4,1
Baker,Georgia,5,1
Baldwin,Georgia,5,1
Banks,Georgia,12,12
Barrow,Georgia,6,1
Bartow,Georgia,6,6
Ben Hill,Georgia,12,8
Berrien,Georgia,12,10
Bibb,Georgia,9,2
Bleckley,Georgia,12,10
Brantley,Georgia,6,1
Brooks,Georgia,5,6
Bryan,Georgia,6,5
Bulloch,Georgia,10,2
Burke,Georgia,6,5
Butts,Georgia,4,6
Calhoun,Georgia,5,6
Camden,Georgia,10,8
Candler,Georgia,12,10
Carroll,Georgia,4,5
Catoosa,Georgia,12,10
Charlton,Georgia,12,8
Chatham,Georgia,9,2
Chattahoochee,Georgia,12,10
Chattooga,Georgia,6,3
Cherokee,Georgia,6,3
Clarke,Georgia,6,1
Clay,Georgia,5,6
Clayton,Georgia,6,5
Clinch,Georgia,12,2
Cobb,Georgia,6,1
Coffee,Georgia,6,1
Colquitt,Georgia,5,1
Columbia,Georgia,10,8
Cook,Georgia,4,3
Coweta,Georgia,6,2
Crawford,Georgia,12,10
Crisp,Georgia,4,5
Dade,Georgia,5,1
Dawson,Georgia,4,2
Decatur,Georgia,10,3
DeKalb,Georgia,6,3
Dodge,Georgia,10,2
Dooly,Georgia,5,6
Dougherty,Georgia,5,6
Douglas,Georgia,6,3
Early,Georgia,5,6
Echols,Georgia,12,10
Effingham,Georgia,9,2
Elbert,Georgia,12,10
Emanuel,Georgia,12,8
Evans,Georgia,0,10
Fannin,Georgia,10,8
Fayette,Georgia,6,3
Floyd,Georgia,6,3
Forsyth,Georgia,6,3
Franklin,Georgia,2,8
Fulton,Georgia,6,5
Gilmer,Georgia,12,12
Glascock,Georgia,0,0
Glynn,Georgia,10,8
Gordon,Georgia,6,1
Grady,Georgia,7,3
Greene,Georgia,4,2
Gwinnett,Georgia,6,1
Habersham,Georgia,6,1
Hall,Georgia,4,3
Hancock,Georgia,10,6
Haralson,Georgia,10,2
Harris,Georgia,4,2
Hart,Georgia,12,10
Heard,Georgia,5,1
Henry,Georgia,6,2
Houston,Georgia,6,3
Irwin,Georgia,11,2
Jackson,Georgia,8,2
Jasper,Georgia,12,8
Jeff Davis,Georgia,4,3
Jefferson,Georgia,7,3
Jenkins,Georgia,6,2
Johnson,Georgia,6,5
Jones,Georgia,12,10
Lamar,Georgia,10,2
Lanier,Georgia,6,1
Laurens,Georgia,10,7
Lee,Georgia,5,6
Liberty,Georgia,12,10
Lincoln,Georgia,12,9
Long,Georgia,12,8
Lowndes,Georgia,6,3
Lumpkin,Georgia,10,8
McDuffie,Georgia,5,5
McIntosh,Georgia,12,12
Macon,Georgia,6,5
Madison,Georgia,6,3
Marion,Georgia,4,2
Meriwether,Georgia,10,8
Miller,Georgia,12,10
Mitchell,Georgia,5,6
Monroe,Georgia,4,1
Montgomery,Georgia,0,10
Morgan,Georgia,12,10
Murray,Georgia,12,8
Muscogee,Georgia,4,3
Newton,Georgia,6,3
Oconee,Georgia,2,8
Oglethorpe,Georgia,5,1
Paulding,Georgia,4,3
Peach,Georgia,6,3
Pickens,Georgia,6,3
Pierce,Georgia,6,5
Pike,Georgia,4,2
Polk,Georgia,12,12
Pulaski,Georgia,6,3
Putnam,Georgia,4,5
Quitman,Georgia,6,1
Rabun,Georgia,10,8
Randolph,Georgia,5,6
Richmond,Georgia,6,3
Rockdale,Georgia,6,3
Schley,Georgia,6,5
Screven,Georgia,4,3
Seminole,Georgia,6,5
Spalding,Georgia,6,5
Stephens,Georgia,8,2
Stewart,Georgia,12,8
Sumter,Georgia,5,6
Talbot,Georgia,6,3
Taliaferro,Georgia,0,0
Tattnall,Georgia,12,10
Taylor,Georgia,5,1
Telfair,Georgia,12,8
Terrell,Georgia,5,6
Thomas,Georgia,5,6
Tift,Georgia,4,5
Toombs,Georgia,6,3
Towns,Georgia,10,8
Treutlen,Georgia,12,10
Troup,Georgia,6,1
Turner,Georgia,5,6
Twiggs,Georgia,12,10
Union,Georgia,6,2
Upson,Georgia,5,6
Walker,Georgia,12,10
Walton,Georgia,6,3
Ware,Georgia,5,1
Warren,Georgia,12,10
Washington,Georgia,10,2
Wayne,Georgia,12,10
Webster,Georgia,4,5
Wheeler,Georgia,12,10
White,Georgia,12,8
Whitfield,Georgia,6,1
Wilcox,Georgia,5,6
Wilkes,Georgia,12,8
Wilkinson,Georgia,6,1
Worth,Georgia,5,6
Hawaii,Hawaii,12,10
Honolulu,Hawaii,10,9
Kalawao,Hawaii,0,0
Kauai,Hawaii,12,10
Maui,Hawaii,10,8
Ada,Idaho,10,2
Adams,Idaho,12,10
Bannock,Idaho,12,10
Bear Lake,Idaho,0,0
Benewah,Idaho,0,0
Bingham,Idaho,12,10
Blaine,Idaho,5,5
Boise,Idaho,0,0
Bonner,Idaho,12,10
Bonneville,Idaho,12,10
Boundary,Idaho,0,0
Butte,Idaho,0,0
Camas,Idaho,12,12
Canyon,Idaho,9,2
Caribou,Idaho,13,12
Cassia,Idaho,6,1
Clark,Idaho,0,0
Clearwater,Idaho,0,0
Custer,Idaho,12,10
Elmore,Idaho,10,2
Franklin,Idaho,0,0
Fremont,Idaho,12,10
Gem,Idaho,12,10
Gooding,Idaho,12,10
Idaho,Idaho,12,11
Jefferson,Idaho,12,10
Jerome,Idaho,6,1
Kootenai,Idaho,12,10
Latah,Idaho,12,10
Lemhi,Idaho,0,10
Lewis,Idaho,0,0
Lincoln,Idaho,12,10
Madison,Idaho,12,10
Minidoka,Idaho,12,10
Nez Perce,Idaho,5,6
Oneida,Idaho,0,0
Owyhee,Idaho,12,10
Payette,Idaho,4,2
Power,Idaho,13,10
Shoshone,Idaho,0,0
Teton,Idaho,12,10
Twin Falls,Idaho,6,1
Valley,Idaho,12,10
Washington,Idaho,12,10
Adams,Illinois,12,9
Alexander,Illinois,0,10
Bond,Illinois,11,2
Boone,Illinois,5,1
Brown,Illinois,0,0
Bureau,Illinois,12,8
Calhoun,Illinois,13,12
Carroll,Illinois,6,3
Cass,Illinois,0,10
Champaign,Illinois,10,3
Christian,Illinois,4,2
Clark,Illinois,12,10
Clay,Illinois,0,10
Clinton,Illinois,10,5
Coles,Illinois,10,3
Cook,Illinois,5,6
Crawford,Illinois,12,10
Cumberland,Illinois,12,10
DeKalb,Illinois,8,2
De Witt,Illinois,12,10
Douglas,Illinois,12,10
DuPage,Illinois,6,1
Edgar,Illinois,0,0
Edwards,Illinois,0,0
Effingham,Illinois,10,8
Fayette,Illinois,4,2
Ford,Illinois,6,3
Franklin,Illinois,12,10
Fulton,Illinois,12,12
Gallatin,Illinois,12,10
Greene,Illinois,12,10
Grundy,Illinois,12,8
Hamilton,Illinois,0,10
Hancock,Illinois,12,10
Hardin,Illinois,0,12
Henderson,Illinois,0,10
Henry,Illinois,12,10
Iroquois,Illinois,12,2
Jackson,Illinois,6,1
Jasper,Illinois,5,6
Jefferson,Illinois,4,5
Jersey,Illinois,10,8
Jo Daviess,Illinois,12,12
Johnson,Illinois,0,10
Kane,Illinois,5,1
Kankakee,Illinois,6,1
Kendall,Illinois,6,1
Knox,Illinois,12,10
Lake,Illinois,6,1
LaSalle,Illinois,9,2
Lawrence,Illinois,12,10
Lee,Illinois,12,9
Livingston,Illinois,10,8
Logan,Illinois,12,10
McDonough,Illinois,12,2
McHenry,Illinois,6,1
McLean,Illinois,6,2
Macon,Illinois,7,3
Macoupin,Illinois,12,8
Madison,Illinois,4,3
Marion,Illinois,12,10
Marshall,Illinois,12,10
Mason,Illinois,12,10
Massac,Illinois,12,10
Menard,Illinois,12,10
Mercer,Illinois,12,10
Monroe,Illinois,6,5
Montgomery,Illinois,6,3
Morgan,Illinois,6,2
Moultrie,Illinois,12,10
Ogle,Illinois,8,2
Peoria,Illinois,8,2
Perry,Illinois,12,10
Piatt,Illinois,12,10
Pike,Illinois,12,10
Pope,Illinois,0,0
Pulaski,Illinois,12,10
Putnam,Illinois,0,0
Randolph,Illinois,8,2
Richland,Illinois,12,10
Rock Island,Illinois,4,3
St. Clair,Illinois,6,1
Saline,Illinois,12,10
Sangamon,Illinois,6,3
Schuyler,Illinois,12,10
Scott,Illinois,0,0
Shelby,Illinois,1,8
Stark,Illinois,13,10
Stephenson,Illinois,12,9
Tazewell,Illinois,8,7
Union,Illinois,0,3
Vermilion,Illinois,1,8
Wabash,Illinois,12,10
Warren,Illinois,12,10
Washington,Illinois,12,11
Wayne,Illinois,0,8
White,Illinois,0,10
Whiteside,Illinois,6,3
Will,Illinois,5,1
Williamson,Illinois,12,9
Winnebago,Illinois,6,1
Woodford,Illinois,10,8
Adams,Indiana,10,2
Allen,Indiana,6,1
Bartholomew,Indiana,6,1
Benton,Indiana,12,10
Blackford,Indiana,4,3
Boone,Indiana,6,6
Brown,Indiana,4,3
Carroll,Indiana,6,4
Cass,Indiana,5,1
Clark,Indiana,6,5
Clay,Indiana,10,2
Clinton,Indiana,6,1
Crawford,Indiana,12,10
Daviess,Indiana,6,6
Dearborn,Indiana,6,5
Decatur,Indiana,5,6
DeKalb,Indiana,10,7
Delaware,Indiana,6,1
Dubois,Indiana,12,8
Elkhart,Indiana,6,1
Fayette,Indiana,6,1
Floyd,Indiana,6,6
Fountain,Indiana,5,1
Franklin,Indiana,5,6
Fulton,Indiana,2,8
Gibson,Indiana,12,9
Grant,Indiana,6,5
Greene,Indiana,6,6
Hamilton,Indiana,6,6
Hancock,Indiana,6,5
Harrison,Indiana,6,5
Hendricks,Indiana,6,6
Henry,Indiana,10,3
Howard,Indiana,6,1
Huntington,Indiana,4,3
Jackson,Indiana,10,8
Jasper,Indiana,6,3
Jay,Indiana,12,10
Jefferson,Indiana,12,8
Jennings,Indiana,11,2
Johnson,Indiana,5,1
Knox,Indiana,12,10
Kosciusko,Indiana,10,2
LaGrange,Indiana,4,3
Lake,Indiana,6,1
LaPorte,Indiana,6,3
Lawrence,Indiana,6,6
Madison,Indiana,5,6
Marion,Indiana,5,1
Marshall,Indiana,10,2
Martin,Indiana,12,10
Miami,Indiana,12,8
Monroe,Indiana,10,2
Montgomery,Indiana,12,3
Morgan,Indiana,4,5
Newton,Indiana,5,6
Noble,Indiana,6,1
Ohio,Indiana,12,10
Orange,Indiana,5,6
Owen,Indiana,10,2
Parke,Indiana,12,10
Perry,Indiana,12,10
Pike,Indiana,0,10
Porter,Indiana,10,2
Posey,Indiana,12,10
Pulaski,Indiana,12,10
Putnam,Indiana,5,1
Randolph,Indiana,4,3
Ripley,Indiana,4,5
Rush,Indiana,6,3
St. Joseph,Indiana,6,3
Scott,Indiana,5,1
Shelby,Indiana,6,6
Spencer,Indiana,12,2
Starke,Indiana,10,3
Steuben,Indiana,9,3
Sullivan,Indiana,12,9
Switzerland,Indiana,12,10
Tippecanoe,Indiana,9,2
Tipton,Indiana,10,2
Union,Indiana,12,10
Vanderburgh,Indiana,10,8
Vermillion,Indiana,12,10
Vigo,Indiana,6,3
Wabash,Indiana,8,2
Warren,Indiana,5,4
Warrick,Indiana,6,5
Washington,Indiana,12,8
Wayne,Indiana,10,2
Wells,Indiana,12,10
White,Indiana,12,2
Whitley,Indiana,4,2
Adair,Iowa,3,10
Adams,Iowa,0,0
Allamakee,Iowa,5,1
Appanoose,Iowa,4,1
Audubon,Iowa,12,2
Benton,Iowa,4,2
Black Hawk,Iowa,4,5
Boone,Iowa,12,10
Bremer,Iowa,10,2
Buchanan,Iowa,12,10
Buena Vista,Iowa,12,10
Butler,Iowa,12,12
Calhoun,Iowa,0,0
Carroll,Iowa,12,10
Cass,Iowa,0,10
Cedar,Iowa,12,8
Cerro Gordo,Iowa,12,9
Cherokee,Iowa,0,10
Chickasaw,Iowa,12,10
Clarke,Iowa,12,10
Clay,Iowa,12,10
Clayton,Iowa,9,3
Clinton,Iowa,10,8
Crawford,Iowa,6,1
Dallas,Iowa,12,2
Davis,Iowa,0,0
Decatur,Iowa,0,0
Delaware,Iowa,12,8
Des Moines,Iowa,10,8
Dickinson,Iowa,12,10
Dubuque,Iowa,9,3
Emmet,Iowa,0,0
Fayette,Iowa,12,10
Floyd,Iowa,0,0
Franklin,Iowa,12,10
Fremont,Iowa,0,0
Greene,Iowa,12,10
Grundy,Iowa,12,10
Guthrie,Iowa,12,2
Hamilton,Iowa,12,10
Hancock,Iowa,12,10
Hardin,Iowa,12,10
Harrison,Iowa,12,10
Henry,Iowa,4,3
Howard,Iowa,12,10
Humboldt,Iowa,0,10
Ida,Iowa,0,0
Iowa,Iowa,12,10
Jackson,Iowa,12,10
Jasper,Iowa,1,5
Jefferson,Iowa,12,10
Johnson,Iowa,4,2
Jones,Iowa,12,10
Keokuk,Iowa,12,10
Kossuth,Iowa,12,10
Lee,Iowa,12,10
Linn,Iowa,6,5
Louisa,Iowa,6,5
Lucas,Iowa,0,0
Lyon,Iowa,12,10
Madison,Iowa,4,1
Mahaska,Iowa,10,1
Marion,Iowa,12,10
Marshall,Iowa,1,2
Mills,Iowa,12,10
Mitchell,Iowa,12,10
Monona,Iowa,12,10
Monroe,Iowa,0,0
Montgomery,Iowa,12,10
Muscatine,Iowa,6,6
O'Brien,Iowa,12,10
Osceola,Iowa,12,10
Page,Iowa,12,10
Palo Alto,Iowa,0,0
Plymouth,Iowa,12,9
Pocahontas,Iowa,0,10
Polk,Iowa,6,1
Pottawattamie,Iowa,10,3
Poweshiek,Iowa,5,1
Ringgold,Iowa,0,0
Sac,Iowa,0,0
Scott,Iowa,10,2
Shelby,Iowa,12,10
Sioux,Iowa,12,10
Story,Iowa,10,8
Tama,Iowa,5,6
Taylor,Iowa,12,10
Union,Iowa,13,10
Van Buren,Iowa,12,10
Wapello,Iowa,12,2
Warren,Iowa,12,10
Washington,Iowa,5,6
Wayne,Iowa,0,0
Webster,Iowa,12,8
Winnebago,Iowa,12,10
Winneshiek,Iowa,12,10
Woodbury,Iowa,10,3
Worth,Iowa,13,10
Wright,Iowa,12,10
Allen,Kansas,0,0
Anderson,Kansas,0,0
Atchison,Kansas,12,10
Barber,Kansas,13,12
Barton,Kansas,12,8
Bourbon,Kansas,4,2
Brown,Kansas,0,0
Butler,Kansas,12,10
Chase,Kansas,0,10
Chautauqua,Kansas,12,10
Cherokee,Kansas,12,10
Cheyenne,Kansas,0,0
Clark,Kansas,0,5
Clay,Kansas,2,2
Cloud,Kansas,12,10
Coffey,Kansas,5,6
Comanche,Kansas,0,0
Cowley,Kansas,8,2
Crawford,Kansas,10,8
Decatur,Kansas,0,0
Dickinson,Kansas,0,10
Doniphan,Kansas,12,10
Douglas,Kansas,12,10
Edwards,Kansas,0,10
Elk,Kansas,0,0
Ellis,Kansas,12,10
Ellsworth,Kansas,0,0
Finney,Kansas,5,1
Ford,Kansas,1,5
Franklin,Kansas,12,10
Geary,Kansas,12,10
Gove,Kansas,12,12
Graham,Kansas,0,0
Grant,Kansas,0,10
Gray,Kansas,0,10
Greeley,Kansas,0,0
Greenwood,Kansas,12,10
Hamilton,Kansas,12,10
Harper,Kansas,0,0
Harvey,Kansas,12,10
Haskell,Kansas,0,10
Hodgeman,Kansas,0,0
Jackson,Kansas,12,9
Jefferson,Kansas,12,10
Jewell,Kansas,12,10
Johnson,Kansas,4,3
Kearny,Kansas,0,2
Kingman,Kansas,0,0
Kiowa,Kansas,0,10
Labette,Kansas,12,10
Lane,Kansas,0,0
Leavenworth,Kansas,6,4
Lincoln,Kansas,0,0
Linn,Kansas,12,10
Logan,Kansas,0,0
Lyon,Kansas,10,2
McPherson,Kansas,12,10
Marion,Kansas,11,8
Marshall,Kansas,0,0
Meade,Kansas,0,10
Miami,Kansas,12,10
Mitchell,Kansas,12,10
Montgomery,Kansas,4,2
Morris,Kansas,12,10
Morton,Kansas,12,10
Nemaha,Kansas,0,10
Neosho,Kansas,12,10
Ness,Kansas,0,0
Norton,Kansas,0,0
Osage,Kansas,12,10
Osborne,Kansas,12,10
Ottawa,Kansas,12,10
Pawnee,Kansas,0,0
Phillips,Kansas,13,10
Pottawatomie,Kansas,12,10
Pratt,Kansas,12,12
Rawlins,Kansas,0,0
Reno,Kansas,12,10
Republic,Kansas,12,10
Rice,Kansas,0,10
Riley,Kansas,12,9
Rooks,Kansas,12,10
Rush,Kansas,0,0
Russell,Kansas,0,0
Saline,Kansas,4,2
Scott,Kansas,12,10
Sedgwick,Kansas,10,8
Seward,Kansas,12,8
Shawnee,Kansas,9,2
Sheridan,Kansas,0,10
Sherman,Kansas,0,10
Smith,Kansas,0,11
Stafford,Kansas,12,12
Stanton,Kansas,0,10
Stevens,Kansas,12,10
Sumner,Kansas,10,2
Thomas,Kansas,0,0
Trego,Kansas,0,0
Wabaunsee,Kansas,12,10
Wallace,Kansas,0,0
Washington,Kansas,0,0
Wichita,Kansas,0,0
Wilson,Kansas,0,10
Woodson,Kansas,12,10
Wyandotte,Kansas,5,1
Adair,Kentucky,6,5
Allen,Kentucky,12,2
Anderson,Kentucky,6,1
Ballard,Kentucky,12,10
Barren,Kentucky,12,9
Bath,Kentucky,2,2
Bell,Kentucky,0,0
